ID,latitude,longitude,max_power_kW,price_€/kWh,source
0,48.1411754,11.7367876,150,0.64,Public
1,50.324529,11.7849996,300,0.64,Public
2,50.9910821,7.84167334,300,0.64,Public
3,52.17403,11.49524,300,0.64,Public
4,54.47766,9.54508,300,0.64,Public
5,52.27878,9.35073,300,0.64,Public
6,49.84,8.14348,300,0.64,Public
7,53.06713,12.533,300,0.64,Public
8,53.38083,11.62645,300,0.64,Public
9,53.52549,8.62171,150,0.64,Public
10,48.04249,10.6203,300,0.64,Public
11,53.83249,10.65118,150,0.64,Public
12,47.81381,12.36653,300,0.64,Public
13,48.99549,12.15123,300,0.64,Public
14,52.23778,8.16322,300,0.64,Public
15,48.51072,11.58235,300,0.64,Public
16,50.86574,11.7726,300,0.64,Public
17,51.69578,7.96634,300,0.64,Public
18,53.84584,9.93593,300,0.64,Public
19,51.4508,11.30511,300,0.64,Public
20,50.02655,8.58738,300,0.64,Public
21,49.92372,7.82567,300,0.64,Public
22,54.13767,12.11458,150,0.64,Public
23,51.00464,9.47938,300,0.64,Public
24,49.28836126,11.44208036,400,0.45,Public
25,48.94272075,10.91565173,200,0.45,Public
26,53.11922451,8.2581108,400,0.45,Public
27,51.55715834,8.1442734,400,0.45,Public
28,52.5441245,13.6475955,300,0.495,Public
29,49.2587569,10.5014947,300,0.495,Public
30,53.5057438,10.0896657,300,0.495,Public
31,49.6731419,8.5971889,300,0.495,Public
32,50.0373474,11.4906336,300,0.495,Public
33,49.3114106,11.0016065,300,0.495,Public
34,50.46912,8.137242,300,0.495,Public
35,49.9962903,7.6840649,300,0.495,Public
36,49.4447604,10.2505567,300,0.495,Public
37,48.8389558,12.1191611,300,0.495,Public
38,49.55016448,8.4499455,300,0.495,Public
39,49.00188113,12.36535482,300,0.495,Public
40,50.64683454,7.33748317,300,0.495,Public
41,48.4828669,12.0004695,300,0.495,Public
42,53.52110796,8.12362293,300,0.495,Public
43,51.0067107,9.4729239,300,0.495,Public
44,49.2719368,8.3387627,300,0.495,Public
45,53.7179712,9.7595943,300,0.495,Public
46,53.0878337,8.7122544,300,0.495,Public
47,49.6549327,8.3597696,300,0.495,Public
48,49.9934116,8.3862406,300,0.495,Public
49,54.0222582,12.2305996,300,0.495,Public
50,48.5055874,8.8270739,300,0.495,Public
51,51.1691478,6.8234855,300,0.495,Public
52,52.0019079,10.1351852,300,0.495,Public
53,51.5320517,7.4412015,300,0.495,Public
54,48.2505429,11.6068248,300,0.495,Public
55,51.91109591,13.79716013,300,0.64,Public
56,53.91072,11.75858,300,0.64,Public
